Scenario,Country,Gender,Age,MinMax,HumNutrR,value
Circular,NL,Female,70_Years,Max,Ca,2500
Circular,NL,Male,9_13_Years,Max,Ca,2500
Circular,NL,Female,9_13_Years,Max,Ca,2500
Circular,NL,Female,14_18_Years,Min,CARB,250
Circular,NL,Male,19_30_Years,Min,CARB,264
Circular,NL,Male,1_3_Years,Min,CARB,112
Circular,NL,Male,9_13_Years,Min,CARB,234
Circular,NL,Male,14_18_Years,Min,CARB,308
Circular,NL,Male,4_8_Years,Min,CARB,198
Circular,NL,Male,31_50_Years,Min,CARB,253
Circular,NL,Male,51_69_Years,Min,CARB,237
Circular,NL,Male,70_Years,Min,CARB,223
Circular,NL,Female,1_3_Years,Min,CARB,104
Circular,NL,Female,4_8_Years,Min,CARB,148
Circular,NL,Female,9_13_Years,Min,CARB,217
Circular,NL,Female,19_30_Years,Min,CARB,212
Circular,NL,Female,31_50_Years,Min,CARB,203
Circular,NL,Female,51_69_Years,Min,CARB,192
Circular,NL,Female,70_Years,Min,CARB,183
Circular,NL,Male,1_3_Years,Max,CARB,149
Circular,NL,Female,1_3_Years,Max,CARB,139
Circular,NL,Male,14_18_Years,Max,CARB,410
Circular,NL,Female,14_18_Years,Max,CARB,333
Circular,NL,Male,19_30_Years,Max,CARB,351
Circular,NL,Female,19_30_Years,Max,CARB,283
Circular,NL,Male,31_50_Years,Max,CARB,337
Circular,NL,Female,31_50_Years,Max,CARB,271
Circular,NL,Male,4_8_Years,Max,CARB,264
Circular,NL,Female,4_8_Years,Max,CARB,198
Circular,NL,Male,51_69_Years,Max,CARB,315
Circular,NL,Female,51_69_Years,Max,CARB,256
Circular,NL,Male,70_Years,Max,CARB,298
Circular,NL,Female,70_Years,Max,CARB,244
Circular,NL,Male,9_13_Years,Max,CARB,313
Circular,NL,Female,9_13_Years,Max,CARB,289
Circular,NL,Male,1_3_Years,Min,CF,13
Circular,NL,Female,1_3_Years,Min,CF,10
Circular,NL,Male,19_30_Years,Min,CF,25
Circular,NL,Female,19_30_Years,Min,CF,25
Circular,NL,Male,31_50_Years,Min,CF,25
Circular,NL,Female,31_50_Years,Min,CF,25
Circular,NL,Male,4_8_Years,Min,CF,15
Circular,NL,Male,9_13_Years,Min,CF,18
Circular,NL,Male,14_18_Years,Min,CF,21
Circular,NL,Female,4_8_Years,Min,CF,15
Circular,NL,Female,9_13_Years,Min,CF,18
Circular,NL,Female,14_18_Years,Min,CF,21
Circular,NL,Male,51_69_Years,Min,CF,25
Circular,NL,Female,51_69_Years,Min,CF,25
Circular,NL,Male,70_Years,Min,CF,25
Circular,NL,Female,70_Years,Min,CF,25
Circular,NL,Male,1_3_Years,Min,CFAT,22
Circular,NL,Male,31_50_Years,Min,CFAT,50
Circular,NL,Male,4_8_Years,Min,CFAT,39
Circular,NL,Male,9_13_Years,Min,CFAT,46
Circular,NL,Male,14_18_Years,Min,CFAT,61
Circular,NL,Male,19_30_Years,Min,CFAT,52
Circular,NL,Male,51_69_Years,Min,CFAT,47
Circular,NL,Male,70_Years,Min,CFAT,44
Circular,NL,Female,1_3_Years,Min,CFAT,21
Circular,NL,Female,4_8_Years,Min,CFAT,29
Circular,NL,Female,9_13_Years,Min,CFAT,43
Circular,NL,Female,14_18_Years,Min,CFAT,49
Circular,NL,Female,19_30_Years,Min,CFAT,42
Circular,NL,Female,31_50_Years,Min,CFAT,40
Circular,NL,Female,51_69_Years,Min,CFAT,38
Circular,NL,Female,70_Years,Min,CFAT,36
Circular,NL,Male,1_3_Years,Max,CFAT,39
Circular,NL,Female,1_3_Years,Max,CFAT,36
Circular,NL,Male,14_18_Years,Max,CFAT,106
Circular,NL,Female,14_18_Years,Max,CFAT,86
Circular,NL,Male,19_30_Years,Max,CFAT,91
Circular,NL,Female,19_30_Years,Max,CFAT,73
Circular,NL,Male,31_50_Years,Max,CFAT,87
Circular,NL,Female,31_50_Years,Max,CFAT,70
Circular,NL,Male,4_8_Years,Max,CFAT,68
Circular,NL,Female,4_8_Years,Max,CFAT,51
Circular,NL,Male,51_69_Years,Max,CFAT,82
Circular,NL,Female,51_69_Years,Max,CFAT,66
Circular,NL,Male,70_Years,Max,CFAT,77
Circular,NL,Female,70_Years,Max,CFAT,63
Circular,NL,Male,9_13_Years,Max,CFAT,81
Circular,NL,Female,9_13_Years,Max,CFAT,75
Circular,NL,Male,1_3_Years,Min,Cholestrol,0
Circular,NL,Male,4_8_Years,Min,Cholestrol,0
Circular,NL,Male,9_13_Years,Min,Cholestrol,0
Circular,NL,Male,14_18_Years,Min,Cholestrol,0
Circular,NL,Male,19_30_Years,Min,Cholestrol,0
Circular,NL,Male,31_50_Years,Min,Cholestrol,0
Circular,NL,Male,51_69_Years,Min,Cholestrol,0
Circular,NL,Male,70_Years,Min,Cholestrol,0
Circular,NL,Female,1_3_Years,Min,Cholestrol,0
Circular,NL,Female,4_8_Years,Min,Cholestrol,0
Circular,NL,Female,9_13_Years,Min,Cholestrol,0
Circular,NL,Female,14_18_Years,Min,Cholestrol,0
Circular,NL,Female,19_30_Years,Min,Cholestrol,0
Circular,NL,Female,31_50_Years,Min,Cholestrol,0
Circular,NL,Female,51_69_Years,Min,Cholestrol,0
Circular,NL,Female,70_Years,Min,Cholestrol,0
Circular,NL,Male,1_3_Years,Max,Cholestrol,76
Circular,NL,Female,1_3_Years,Max,Cholestrol,69
Circular,NL,Male,14_18_Years,Max,Cholestrol,221
Circular,NL,Female,14_18_Years,Max,Cholestrol,171
Circular,NL,Male,19_30_Years,Max,Cholestrol,300
Circular,NL,Female,19_30_Years,Max,Cholestrol,300
Circular,NL,Male,31_50_Years,Max,Cholestrol,300
Circular,NL,Female,31_50_Years,Max,Cholestrol,300
Circular,NL,Male,4_8_Years,Max,Cholestrol,114
Circular,NL,Female,4_8_Years,Max,Cholestrol,106
Circular,NL,Male,51_69_Years,Max,Cholestrol,300
Circular,NL,Female,51_69_Years,Max,Cholestrol,300
Circular,NL,Male,70_Years,Max,Cholestrol,300
Circular,NL,Female,70_Years,Max,Cholestrol,300
Circular,NL,Male,9_13_Years,Max,Cholestrol,172
Circular,NL,Female,9_13_Years,Max,Cholestrol,157
Circular,NL,Male,1_3_Years,Min,CP,14
Circular,NL,Female,1_3_Years,Min,CP,14
Circular,NL,Male,14_18_Years,Min,CP,60
Circular,NL,Female,14_18_Years,Min,CP,51
Circular,NL,Male,19_30_Years,Min,CP,66
Circular,NL,Female,31_50_Years,Min,CP,60
Circular,NL,Male,4_8_Years,Min,CP,22
Circular,NL,Male,51_69_Years,Min,CP,73
Circular,NL,Male,31_50_Years,Min,CP,71
Circular,NL,Female,19_30_Years,Min,CP,57
Circular,NL,Female,4_8_Years,Min,CP,21
Circular,NL,Female,51_69_Years,Min,CP,61
Circular,NL,Female,70_Years,Min,CP,59
Circular,NL,Female,9_13_Years,Min,CP,38
Circular,NL,Male,70_Years,Min,CP,68
Circular,NL,Male,9_13_Years,Min,CP,39
Circular,NL,Male,1_3_Years,Min,CP_D,14
Circular,NL,Female,1_3_Years,Min,CP_D,14
Circular,NL,Male,14_18_Years,Min,CP_D,60
Circular,NL,Female,14_18_Years,Min,CP_D,51
Circular,NL,Male,19_30_Years,Min,CP_D,66
Circular,NL,Female,31_50_Years,Min,CP_D,60
Circular,NL,Male,4_8_Years,Min,CP_D,22
Circular,NL,Male,51_69_Years,Min,CP_D,73
Circular,NL,Male,31_50_Years,Min,CP_D,71
Circular,NL,Female,19_30_Years,Min,CP_D,57
Circular,NL,Female,4_8_Years,Min,CP_D,21
Circular,NL,Female,51_69_Years,Min,CP_D,61
Circular,NL,Female,70_Years,Min,CP_D,59
Circular,NL,Female,9_13_Years,Min,CP_D,38
Circular,NL,Male,70_Years,Min,CP_D,68
Circular,NL,Male,9_13_Years,Min,CP_D,39
Circular,NL,Male,4_8_Years,Min,Cu,1
Circular,NL,Female,4_8_Years,Min,Cu,1
Circular,NL,Male,1_3_Years,Min,Cu,0.8
Circular,NL,Male,9_13_Years,Min,Cu,1.2
Circular,NL,Male,14_18_Years,Min,Cu,1.3
Circular,NL,Male,19_30_Years,Min,Cu,1.6
Circular,NL,Male,31_50_Years,Min,Cu,1.6
Circular,NL,Male,51_69_Years,Min,Cu,1.6
Circular,NL,Male,70_Years,Min,Cu,1.6
Circular,NL,Female,1_3_Years,Min,Cu,0.7
Circular,NL,Female,9_13_Years,Min,Cu,1.1
Circular,NL,Female,14_18_Years,Min,Cu,1.1
Circular,NL,Female,19_30_Years,Min,Cu,1.3
Circular,NL,Female,31_50_Years,Min,Cu,1.3
Circular,NL,Female,51_69_Years,Min,Cu,1.3
Circular,NL,Female,70_Years,Min,Cu,1.3
Circular,NL,Male,1_3_Years,Max,Cu,14
Circular,NL,Female,1_3_Years,Max,Cu,1
Circular,NL,Male,14_18_Years,Max,Cu,4
Circular,NL,Female,14_18_Years,Max,Cu,4
Circular,NL,Male,19_30_Years,Max,Cu,5
Circular,NL,Female,19_30_Years,Max,Cu,5
Circular,NL,Male,31_50_Years,Max,Cu,5
Circular,NL,Female,31_50_Years,Max,Cu,5
Circular,NL,Male,4_8_Years,Max,Cu,2
Circular,NL,Female,4_8_Years,Max,Cu,2
Circular,NL,Male,51_69_Years,Max,Cu,5
Circular,NL,Female,51_69_Years,Max,Cu,5
Circular,NL,Male,70_Years,Max,Cu,5
Circular,NL,Female,70_Years,Max,Cu,5
Circular,NL,Male,9_13_Years,Max,Cu,3
Circular,NL,Female,9_13_Years,Max,Cu,3
Circular,NL,Male,1_3_Years,Min,EPA_DHA,0.25
Circular,NL,Male,4_8_Years,Min,EPA_DHA,0.25
Circular,NL,Male,9_13_Years,Min,EPA_DHA,0.25
Circular,NL,Male,14_18_Years,Min,EPA_DHA,0.25
Circular,NL,Male,19_30_Years,Min,EPA_DHA,0.25
Circular,NL,Male,31_50_Years,Min,EPA_DHA,0.25
Circular,NL,Male,51_69_Years,Min,EPA_DHA,0.25
Circular,NL,Male,70_Years,Min,EPA_DHA,0.25
Circular,NL,Female,1_3_Years,Min,EPA_DHA,0.25
Circular,NL,Female,4_8_Years,Min,EPA_DHA,0.25
Circular,NL,Female,9_13_Years,Min,EPA_DHA,0.25
Circular,NL,Female,14_18_Years,Min,EPA_DHA,0.25
Circular,NL,Female,19_30_Years,Min,EPA_DHA,0.25
Circular,NL,Female,31_50_Years,Min,EPA_DHA,0.25
Circular,NL,Female,51_69_Years,Min,EPA_DHA,0.25
Circular,NL,Female,70_Years,Min,EPA_DHA,0.25
Circular,NL,Male,1_3_Years,Min,Fe,7
Circular,NL,Female,1_3_Years,Min,Fe,7
Circular,NL,Female,14_18_Years,Min,Fe,13
Circular,NL,Male,4_8_Years,Min,Fe,9
Circular,NL,Male,9_13_Years,Min,Fe,11
Circular,NL,Male,14_18_Years,Min,Fe,11
Circular,NL,Male,19_30_Years,Min,Fe,11
Circular,NL,Male,31_50_Years,Min,Fe,11
Circular,NL,Male,51_69_Years,Min,Fe,11
Circular,NL,Male,70_Years,Min,Fe,11
Circular,NL,Female,4_8_Years,Min,Fe,9
Circular,NL,Female,9_13_Years,Min,Fe,12
Circular,NL,Female,19_30_Years,Min,Fe,16
Circular,NL,Female,31_50_Years,Min,Fe,16
Circular,NL,Female,51_69_Years,Min,Fe,11
Circular,NL,Female,70_Years,Min,Fe,11
Circular,NL,Male,1_3_Years,Min,His,238
Circular,NL,Male,4_8_Years,Min,His,367
Circular,NL,Male,9_13_Years,Min,His,622
Circular,NL,Male,14_18_Years,Min,His,944
Circular,NL,Male,19_30_Years,Min,His,999
Circular,NL,Male,31_50_Years,Min,His,1074
Circular,NL,Male,51_69_Years,Min,His,1099
Circular,NL,Male,70_Years,Min,His,1032
Circular,NL,Female,1_3_Years,Min,His,232
Circular,NL,Female,4_8_Years,Min,His,350
Circular,NL,Female,9_13_Years,Min,His,615
Circular,NL,Female,14_18_Years,Min,His,805
Circular,NL,Female,19_30_Years,Min,His,869
Circular,NL,Female,31_50_Years,Min,His,914
Circular,NL,Female,51_69_Years,Min,His,926
Circular,NL,Female,70_Years,Min,His,890
Circular,NL,Male,1_3_Years,Min,His_D,238
Circular,NL,Male,4_8_Years,Min,His_D,367
Circular,NL,Male,9_13_Years,Min,His_D,622
Circular,NL,Male,14_18_Years,Min,His_D,944
Circular,NL,Male,19_30_Years,Min,His_D,999
Circular,NL,Male,31_50_Years,Min,His_D,1074
Circular,NL,Male,51_69_Years,Min,His_D,1099
Circular,NL,Male,70_Years,Min,His_D,1032
Circular,NL,Female,1_3_Years,Min,His_D,232
Circular,NL,Female,4_8_Years,Min,His_D,350
Circular,NL,Female,9_13_Years,Min,His_D,615
Circular,NL,Female,14_18_Years,Min,His_D,805
Circular,NL,Female,19_30_Years,Min,His_D,869
Circular,NL,Female,31_50_Years,Min,His_D,914
Circular,NL,Female,51_69_Years,Min,His_D,926
Circular,NL,Female,70_Years,Min,His_D,890
Circular,NL,Male,1_3_Years,Min,I,0
Circular,NL,Male,4_8_Years,Min,I,0
Circular,NL,Male,9_13_Years,Min,I,0
Circular,NL,Male,14_18_Years,Min,I,0
Circular,NL,Male,19_30_Years,Min,I,0
Circular,NL,Male,31_50_Years,Min,I,0
Circular,NL,Male,51_69_Years,Min,I,0
Circular,NL,Male,70_Years,Min,I,0
Circular,NL,Female,1_3_Years,Min,I,0
Circular,NL,Female,4_8_Years,Min,I,0
Circular,NL,Female,9_13_Years,Min,I,0
Circular,NL,Female,14_18_Years,Min,I,0
Circular,NL,Female,19_30_Years,Min,I,0
Circular,NL,Female,31_50_Years,Min,I,0
Circular,NL,Female,51_69_Years,Min,I,0
Circular,NL,Female,70_Years,Min,I,0
Circular,NL,Male,1_3_Years,Max,I,200
Circular,NL,Female,1_3_Years,Max,I,200
Circular,NL,Male,14_18_Years,Max,I,500
Circular,NL,Female,14_18_Years,Max,I,500
Circular,NL,Male,19_30_Years,Max,I,600
Circular,NL,Female,19_30_Years,Max,I,600
Circular,NL,Male,31_50_Years,Max,I,600
Circular,NL,Female,31_50_Years,Max,I,600
Circular,NL,Male,4_8_Years,Max,I,250
Circular,NL,Female,4_8_Years,Max,I,250
Circular,NL,Male,51_69_Years,Max,I,600
Circular,NL,Female,51_69_Years,Max,I,600
Circular,NL,Male,70_Years,Max,I,600
Circular,NL,Female,70_Years,Max,I,600
Circular,NL,Male,9_13_Years,Max,I,300
Circular,NL,Female,9_13_Years,Max,I,300
Circular,NL,Male,1_3_Years,Min,Ile,431
Circular,NL,Male,4_8_Years,Min,Ile,673
Circular,NL,Male,9_13_Years,Min,Ile,1141
Circular,NL,Male,14_18_Years,Min,Ile,1803
Circular,NL,Male,19_30_Years,Min,Ile,1997
Circular,NL,Male,31_50_Years,Min,Ile,2148
Circular,NL,Male,51_69_Years,Min,Ile,2198
Circular,NL,Male,70_Years,Min,Ile,2063
Circular,NL,Female,1_3_Years,Min,Ile,419
Circular,NL,Female,4_8_Years,Min,Ile,641
Circular,NL,Female,9_13_Years,Min,Ile,1127
Circular,NL,Female,14_18_Years,Min,Ile,1537
Circular,NL,Female,19_30_Years,Min,Ile,1739
Circular,NL,Female,31_50_Years,Min,Ile,1829
Circular,NL,Female,51_69_Years,Min,Ile,1852
Circular,NL,Female,70_Years,Min,Ile,1781
Circular,NL,Male,1_3_Years,Min,Ile_D,431
Circular,NL,Male,4_8_Years,Min,Ile_D,673
Circular,NL,Male,9_13_Years,Min,Ile_D,1141
Circular,NL,Male,14_18_Years,Min,Ile_D,1803
Circular,NL,Male,19_30_Years,Min,Ile_D,1997
Circular,NL,Male,31_50_Years,Min,Ile_D,2148
Circular,NL,Male,51_69_Years,Min,Ile_D,2198
Circular,NL,Male,70_Years,Min,Ile_D,2063
Circular,NL,Female,1_3_Years,Min,Ile_D,419
Circular,NL,Female,4_8_Years,Min,Ile_D,641
Circular,NL,Female,9_13_Years,Min,Ile_D,1127
Circular,NL,Female,14_18_Years,Min,Ile_D,1537
Circular,NL,Female,19_30_Years,Min,Ile_D,1739
Circular,NL,Female,31_50_Years,Min,Ile_D,1829
Circular,NL,Female,51_69_Years,Min,Ile_D,1852
Circular,NL,Female,70_Years,Min,Ile_D,1781
Circular,NL,Male,1_3_Years,Min,K,800
Circular,NL,Male,4_8_Years,Min,K,1380
Circular,NL,Male,9_13_Years,Min,K,2340
Circular,NL,Male,14_18_Years,Min,K,3500
Circular,NL,Male,19_30_Years,Min,K,3500
Circular,NL,Male,31_50_Years,Min,K,3500
Circular,NL,Male,51_69_Years,Min,K,3500
Circular,NL,Male,70_Years,Min,K,3500
Circular,NL,Female,1_3_Years,Min,K,800
Circular,NL,Female,4_8_Years,Min,K,1380
Circular,NL,Female,9_13_Years,Min,K,2340
Circular,NL,Female,14_18_Years,Min,K,3340
Circular,NL,Female,19_30_Years,Min,K,3500
Circular,NL,Female,31_50_Years,Min,K,3500
Circular,NL,Female,51_69_Years,Min,K,3500
Circular,NL,Female,70_Years,Min,K,3500
Circular,NL,Male,1_3_Years,Min,kcal,955
Circular,NL,Male,14_18_Years,Min,kcal,2734
Circular,NL,Male,19_30_Years,Min,kcal,2342
Circular,NL,Male,31_50_Years,Min,kcal,2247
Circular,NL,Male,4_8_Years,Min,kcal,1759
Circular,NL,Male,51_69_Years,Min,kcal,2103
Circular,NL,Male,70_Years,Min,kcal,1984
Circular,NL,Male,9_13_Years,Min,kcal,2084
Circular,NL,Female,1_3_Years,Min,kcal,924
Circular,NL,Female,14_18_Years,Min,kcal,2218
Circular,NL,Female,19_30_Years,Min,kcal,1888
Circular,NL,Female,31_50_Years,Min,kcal,1805
Circular,NL,Female,4_8_Years,Min,kcal,1319
Circular,NL,Female,51_69_Years,Min,kcal,1709
Circular,NL,Female,70_Years,Min,kcal,1625
Circular,NL,Female,9_13_Years,Min,kcal,1926
Circular,NL,Male,1_3_Years,Max,kcal,945
Circular,NL,Female,1_3_Years,Max,kcal,934
Circular,NL,Male,14_18_Years,Max,kcal,2744
Circular,NL,Female,14_18_Years,Max,kcal,2228
Circular,NL,Male,19_30_Years,Max,kcal,2352
Circular,NL,Female,19_30_Years,Max,kcal,1898
Circular,NL,Male,31_50_Years,Max,kcal,2257
Circular,NL,Female,31_50_Years,Max,kcal,1815
Circular,NL,Male,4_8_Years,Max,kcal,1769
Circular,NL,Female,4_8_Years,Max,kcal,1329
Circular,NL,Male,51_69_Years,Max,kcal,2113
Circular,NL,Female,51_69_Years,Max,kcal,1719
Circular,NL,Male,70_Years,Max,kcal,1994
Circular,NL,Female,70_Years,Max,kcal,1635
Circular,NL,Male,9_13_Years,Max,kcal,2094
Circular,NL,Female,9_13_Years,Max,kcal,1936
Circular,NL,Male,1_3_Years,Min,LA,4.4
Circular,NL,Male,4_8_Years,Min,LA,7.8
Circular,NL,Male,9_13_Years,Min,LA,9.3
Circular,NL,Male,14_18_Years,Min,LA,12.2
Circular,NL,Male,19_30_Years,Min,LA,10.4
Circular,NL,Male,31_50_Years,Min,LA,10
Circular,NL,Male,51_69_Years,Min,LA,9.3
Circular,NL,Male,70_Years,Min,LA,8.8
Circular,NL,Female,1_3_Years,Min,LA,4.1
Circular,NL,Female,4_8_Years,Min,LA,5.9
Circular,NL,Female,9_13_Years,Min,LA,8.6
Circular,NL,Female,14_18_Years,Min,LA,9.9
Circular,NL,Female,19_30_Years,Min,LA,8.4
Circular,NL,Female,31_50_Years,Min,LA,8
Circular,NL,Female,51_69_Years,Min,LA,7.6
Circular,NL,Female,70_Years,Min,LA,7.2
Circular,NL,Male,1_3_Years,Min,Leu,863
Circular,NL,Male,4_8_Years,Min,Leu,1346
Circular,NL,Male,9_13_Years,Min,Leu,2281
Circular,NL,Male,14_18_Years,Min,Leu,3606
Circular,NL,Male,19_30_Years,Min,Leu,3895
Circular,NL,Male,31_50_Years,Min,Leu,4188
Circular,NL,Male,51_69_Years,Min,Leu,4286
Circular,NL,Male,70_Years,Min,Leu,4023
Circular,NL,Female,1_3_Years,Min,Leu,838
Circular,NL,Female,4_8_Years,Min,Leu,1282
Circular,NL,Female,9_13_Years,Min,Leu,2254
Circular,NL,Female,14_18_Years,Min,Leu,3073
Circular,NL,Female,19_30_Years,Min,Leu,3390
Circular,NL,Female,31_50_Years,Min,Leu,3566
Circular,NL,Female,51_69_Years,Min,Leu,3612
Circular,NL,Female,70_Years,Min,Leu,3473
Circular,NL,Male,1_3_Years,Min,Leu_D,863
Circular,NL,Male,4_8_Years,Min,Leu_D,1346
Circular,NL,Male,9_13_Years,Min,Leu_D,2281
Circular,NL,Male,14_18_Years,Min,Leu_D,3606
Circular,NL,Male,19_30_Years,Min,Leu_D,3895
Circular,NL,Male,31_50_Years,Min,Leu_D,4188
Circular,NL,Male,51_69_Years,Min,Leu_D,4286
Circular,NL,Male,70_Years,Min,Leu_D,4023
Circular,NL,Female,1_3_Years,Min,Leu_D,838
Circular,NL,Female,4_8_Years,Min,Leu_D,1282
Circular,NL,Female,9_13_Years,Min,Leu_D,2254
Circular,NL,Female,14_18_Years,Min,Leu_D,3073
Circular,NL,Female,19_30_Years,Min,Leu_D,3390
Circular,NL,Female,31_50_Years,Min,Leu_D,3566
Circular,NL,Female,51_69_Years,Min,Leu_D,3612
Circular,NL,Female,70_Years,Min,Leu_D,3473
Circular,NL,Male,1_3_Years,Min,Lys,698
Circular,NL,Male,4_8_Years,Min,Lys,1071
Circular,NL,Male,9_13_Years,Min,Lys,1814
Circular,NL,Male,14_18_Years,Min,Lys,2833
Circular,NL,Male,19_30_Years,Min,Lys,2996
Circular,NL,Male,31_50_Years,Min,Lys,3222
Circular,NL,Male,51_69_Years,Min,Lys,3297
Circular,NL,Male,70_Years,Min,Lys,3095
Circular,NL,Female,1_3_Years,Min,Lys,678
Circular,NL,Female,4_8_Years,Min,Lys,1020
Circular,NL,Female,9_13_Years,Min,Lys,1793
Circular,NL,Female,14_18_Years,Min,Lys,2415
Circular,NL,Female,19_30_Years,Min,Lys,2608
Circular,NL,Female,31_50_Years,Min,Lys,2743
Circular,NL,Female,51_69_Years,Min,Lys,2778
Circular,NL,Female,70_Years,Min,Lys,2671
Circular,NL,Male,1_3_Years,Min,Lys_D,698
Circular,NL,Male,4_8_Years,Min,Lys_D,1071
Circular,NL,Male,9_13_Years,Min,Lys_D,1814
Circular,NL,Male,14_18_Years,Min,Lys_D,2833
Circular,NL,Male,19_30_Years,Min,Lys_D,2996
Circular,NL,Male,31_50_Years,Min,Lys_D,3222
Circular,NL,Male,51_69_Years,Min,Lys_D,3297
Circular,NL,Male,70_Years,Min,Lys_D,3095
Circular,NL,Female,1_3_Years,Min,Lys_D,678
Circular,NL,Female,4_8_Years,Min,Lys_D,1020
Circular,NL,Female,9_13_Years,Min,Lys_D,1793
Circular,NL,Female,14_18_Years,Min,Lys_D,2415
Circular,NL,Female,19_30_Years,Min,Lys_D,2608
Circular,NL,Female,31_50_Years,Min,Lys_D,2743
Circular,NL,Female,51_69_Years,Min,Lys_D,2778
Circular,NL,Female,70_Years,Min,Lys_D,2671
Circular,NL,Female,14_18_Years,Min,Mg,260
Circular,NL,Female,19_30_Years,Min,Mg,300
Circular,NL,Female,31_50_Years,Min,Mg,300
Circular,NL,Female,51_69_Years,Min,Mg,300
Circular,NL,Male,1_3_Years,Min,Mg,190
Circular,NL,Male,4_8_Years,Min,Mg,230
Circular,NL,Male,14_18_Years,Min,Mg,350
Circular,NL,Male,19_30_Years,Min,Mg,350
Circular,NL,Male,31_50_Years,Min,Mg,350
Circular,NL,Male,51_69_Years,Min,Mg,350
Circular,NL,Male,70_Years,Min,Mg,350
Circular,NL,Female,1_3_Years,Min,Mg,190
